place_id,menu_name,menu_tag,description,price,price_raw
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,Special) 스카치 커피,,Hot only 에스프레소 샷에 스카치 위스키 소량을 첨가한 커피,6000,"6,000원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,에스프레소,,,4500,"4,500원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,카푸치노,,,,
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,"Iced 6,000",,,5500,"5,500원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,카페 모카,,,,
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,"Iced 6,000",,,5500,"5,500원"
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,캬라멜 마끼아또,,,,
ecc70e59-df7d-559f-9395-9bbd61c9ff9e,"Iced 6,000",,,5500,"5,500원"
e0b28876-9907-59b4-85a9-ca5ed8be341c,이전 페이지,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,글라세라떼,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,페이지 닫기,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,이미지 갯수,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,+51,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,"글라세라떼카페,디저트",,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,알림받기,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,방문자 리뷰 917블로그 리뷰 5,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,출발,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,도착,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,저장,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,거리뷰,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,공유,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,홈,,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,리뷰,사진,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,정보,사진,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,주소,사진,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,서울 종로구 새문안로 42 피어선빌딩 별관 105호,사진,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,5서대문역 5번 출구에서 419m,사진,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,미터,사진,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,영업시간,사진,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,영업 종료,사진,,,
e0b28876-9907-59b4-85a9-ca5ed8be341c,07:00에 영업 시작,사진,,,
